=== INVENTÁRIO DE SOFTWARE - DEBIAN 13 ===
Gerado em: qua 01 jul 2026 00:20:02 -03
=========================================

[1. APT / SYSTEM PACKAGES]
Origem: APT | Pacote: libgles-nvidia1 | Versão: 610.43.02-1
Origem: APT | Pacote: libgles-nvidia2 | Versão: 610.43.02-1
Origem: APT | Pacote: libgles1 | Versão: 1.7.0-1+b2
Origem: APT | Pacote: libgles2 | Versão: 1.7.0-1+b2
Origem: APT | Pacote: libglib2.0-0t64 | Versão: 2.84.4-3~deb13u3
Origem: APT | Pacote: libglib2.0-data | Versão: 2.84.4-3~deb13u3
Origem: APT | Pacote: libglvnd0 | Versão: 1.7.0-1+b2
Origem: APT | Pacote: libglx-mesa0 | Versão: 25.0.7-2
Origem: APT | Pacote: libglx-nvidia0 | Versão: 610.43.02-1
Origem: APT | Pacote: libglx0 | Versão: 1.7.0-1+b2
Origem: APT | Pacote: libgme0 | Versão: 0.6.3-7+b2
Origem: APT | Pacote: libgmp-dev | Versão: 2:6.3.0+dfsg-3
Origem: APT | Pacote: libgmp10 | Versão: 2:6.3.0+dfsg-3
Origem: APT | Pacote: libgmpxx4ldbl | Versão: 2:6.3.0+dfsg-3
Origem: APT | Pacote: libgnutls30t64 | Versão: 3.8.9-3+deb13u4
Origem: APT | Pacote: libgomp1 | Versão: 14.2.0-19
Origem: APT | Pacote: libgpg-error-l10n | Versão: 1.51-4
Origem: APT | Pacote: libgpg-error0 | Versão: 1.51-4
Origem: APT | Pacote: libgpgme11t64 | Versão: 1.24.2-3
Origem: APT | Pacote: libgpgmepp6t64 | Versão: 1.24.2-3
Origem: APT | Pacote: libgpm2 | Versão: 1.20.7-11+b2
Origem: APT | Pacote: libgprofng0 | Versão: 2.44-3
Origem: APT | Pacote: libgraphene-1.0-0 | Versão: 1.10.8-5
Origem: APT | Pacote: libgraphite2-3 | Versão: 1.3.14-2+b1
Origem: APT | Pacote: libgs-common | Versão: 10.05.1~dfsg-1+deb13u1
Origem: APT | Pacote: libgs10 | Versão: 10.05.1~dfsg-1+deb13u1
Origem: APT | Pacote: libgs10-common | Versão: 10.05.1~dfsg-1+deb13u1
Origem: APT | Pacote: libgsm1 | Versão: 1.0.22-1+b2
Origem: APT | Pacote: libgssapi-krb5-2 | Versão: 1.21.3-5+deb13u1
Origem: APT | Pacote: libgssdp-1.6-0 | Versão: 1.6.4-1~deb13u1
Origem: APT | Pacote: libgstreamer-gl1.0-0 | Versão: 1.26.2-1+deb13u1
Origem: APT | Pacote: libgstreamer-plugins-bad1.0-0 | Versão: 1.26.2-3+deb13u2
Origem: APT | Pacote: libgstreamer-plugins-base1.0-0 | Versão: 1.26.2-1+deb13u1
Origem: APT | Pacote: libgstreamer1.0-0 | Versão: 1.26.2-2
Origem: APT | Pacote: libgtk-3-0t64 | Versão: 3.24.49-3
Origem: APT | Pacote: libgtk-3-bin | Versão: 3.24.49-3
Origem: APT | Pacote: libgtk-3-common | Versão: 3.24.49-3
Origem: APT | Pacote: libgudev-1.0-0 | Versão: 238-6
Origem: APT | Pacote: libgupnp-1.6-0 | Versão: 1.6.8-2
Origem: APT | Pacote: libgupnp-igd-1.6-0 | Versão: 1.6.0-4+b1
Origem: APT | Pacote: libharfbuzz-icu0 | Versão: 10.2.0-1+deb13u1
Origem: APT | Pacote: libharfbuzz0b | Versão: 10.2.0-1+deb13u1
Origem: APT | Pacote: libheif-plugin-aomenc | Versão: 1.19.8-1
