=== INVENTÁRIO DE SOFTWARE - AMDY (OMARCHY/ARCH) ===
Gerado em: Wed Jul  1 12:22:58 AM -03 2026
===================================================

[1. PACMAN OFFICIAL PACKAGES]
Origem: Pacman (Oficial) | Pacote: gperftools | Versão: 2.18.1-1
Origem: Pacman (Oficial) | Pacote: gpgme | Versão: 2.1.0-1
Origem: Pacman (Oficial) | Pacote: gpgmepp | Versão: 2.1.0-1
Origem: Pacman (Oficial) | Pacote: gpm | Versão: 1.20.7.r38.ge82d1a6-6
Origem: Pacman (Oficial) | Pacote: gpsd | Versão: 3.27.5-1
Origem: Pacman (Oficial) | Pacote: gpu-screen-recorder | Versão: 5.13.8-1
Origem: Pacman (Oficial) | Pacote: graphene | Versão: 1.10.8-2
Origem: Pacman (Oficial) | Pacote: graphite | Versão: 1:1.3.14-6
Origem: Pacman (Oficial) | Pacote: grep | Versão: 3.12-2
Origem: Pacman (Oficial) | Pacote: grim | Versão: 1.5.0-2
Origem: Pacman (Oficial) | Pacote: groff | Versão: 1.24.1-1
Origem: Pacman (Oficial) | Pacote: gsettings-desktop-schemas | Versão: 50.1-1
Origem: Pacman (Oficial) | Pacote: gsettings-system-schemas | Versão: 50.1-1
Origem: Pacman (Oficial) | Pacote: gsfonts | Versão: 20200910-6
Origem: Pacman (Oficial) | Pacote: gsm | Versão: 1.0.24-1
Origem: Pacman (Oficial) | Pacote: gspell | Versão: 1.14.3-1
Origem: Pacman (Oficial) | Pacote: gssdp | Versão: 1.6.4-1
Origem: Pacman (Oficial) | Pacote: gst-libav | Versão: 1.28.3-1
Origem: Pacman (Oficial) | Pacote: gst-plugin-gtk | Versão: 1.28.3-1
Origem: Pacman (Oficial) | Pacote: gst-plugin-pipewire | Versão: 1:1.6.5-1
Origem: Pacman (Oficial) | Pacote: gst-plugins-bad-libs | Versão: 1.28.3-1
Origem: Pacman (Oficial) | Pacote: gst-plugins-base | Versão: 1.28.3-1
Origem: Pacman (Oficial) | Pacote: gst-plugins-base-libs | Versão: 1.28.3-1
Origem: Pacman (Oficial) | Pacote: gst-plugins-good | Versão: 1.28.3-1
Origem: Pacman (Oficial) | Pacote: gstreamer | Versão: 1.28.3-1
Origem: Pacman (Oficial) | Pacote: gtest | Versão: 1.17.0-2
Origem: Pacman (Oficial) | Pacote: gtk-layer-shell | Versão: 0.10.1-1
Origem: Pacman (Oficial) | Pacote: gtk-update-icon-cache | Versão: 1:4.22.4-1
Origem: Pacman (Oficial) | Pacote: gtk3 | Versão: 1:3.24.52-1
Origem: Pacman (Oficial) | Pacote: gtk4 | Versão: 1:4.22.4-1
Origem: Pacman (Oficial) | Pacote: gtk4-layer-shell | Versão: 1.3.0-1
Origem: Pacman (Oficial) | Pacote: gtkmm3 | Versão: 3.24.10-1
Origem: Pacman (Oficial) | Pacote: gtksourceview4 | Versão: 4.8.4-2
Origem: Pacman (Oficial) | Pacote: gtksourceview5 | Versão: 5.20.0-1
Origem: Pacman (Oficial) | Pacote: guile | Versão: 3.0.11-1
Origem: Pacman (Oficial) | Pacote: gum | Versão: 0.17.0-1
Origem: Pacman (Oficial) | Pacote: gupnp | Versão: 1:1.6.9-1
Origem: Pacman (Oficial) | Pacote: gupnp-dlna | Versão: 0.12.0-4
Origem: Pacman (Oficial) | Pacote: gupnp-igd | Versão: 1.6.0-2
Origem: Pacman (Oficial) | Pacote: gvfs | Versão: 1.60.0-2
Origem: Pacman (Oficial) | Pacote: gvfs-mtp | Versão: 1.60.0-2
Origem: Pacman (Oficial) | Pacote: gvfs-nfs | Versão: 1.60.0-2
Origem: Pacman (Oficial) | Pacote: gvfs-smb | Versão: 1.60.0-2
Origem: Pacman (Oficial) | Pacote: gzip | Versão: 1.14-2
Origem: Pacman (Oficial) | Pacote: harfbuzz | Versão: 14.2.0-1
Origem: Pacman (Oficial) | Pacote: harfbuzz-icu | Versão: 14.2.0-1
Origem: Pacman (Oficial) | Pacote: haskell-aeson | Versão: 2.2.2.0-8
Origem: Pacman (Oficial) | Pacote: haskell-aeson-pretty | Versão: 0.8.10-181
Origem: Pacman (Oficial) | Pacote: haskell-ansi-terminal | Versão: 1.1-50
Origem: Pacman (Oficial) | Pacote: haskell-ansi-terminal-types | Versão: 1.1-50
Origem: Pacman (Oficial) | Pacote: haskell-appar | Versão: 0.1.8-16
Origem: Pacman (Oficial) | Pacote: haskell-asn1-encoding | Versão: 0.9.6-356
Origem: Pacman (Oficial) | Pacote: haskell-asn1-parse | Versão: 0.9.5-355
Origem: Pacman (Oficial) | Pacote: haskell-asn1-types | Versão: 0.3.4-334
Origem: Pacman (Oficial) | Pacote: haskell-assoc | Versão: 1.1.1-40
Origem: Pacman (Oficial) | Pacote: haskell-async | Versão: 2.2.6-38
Origem: Pacman (Oficial) | Pacote: haskell-attoparsec | Versão: 0.14.4-200
Origem: Pacman (Oficial) | Pacote: haskell-attoparsec-aeson | Versão: 2.2.0.1-5
Origem: Pacman (Oficial) | Pacote: haskell-auto-update | Versão: 0.1.6-474
Origem: Pacman (Oficial) | Pacote: haskell-base-compat | Versão: 0.14.1-2
Origem: Pacman (Oficial) | Pacote: haskell-base-orphans | Versão: 0.9.3-135
Origem: Pacman (Oficial) | Pacote: haskell-base-unicode-symbols | Versão: 0.2.4.2-16
Origem: Pacman (Oficial) | Pacote: haskell-base16-bytestring | Versão: 1.0.2.0-205
Origem: Pacman (Oficial) | Pacote: haskell-base64-bytestring | Versão: 1.2.1.0-321
Origem: Pacman (Oficial) | Pacote: haskell-basement | Versão: 0.0.16-4
Origem: Pacman (Oficial) | Pacote: haskell-bifunctors | Versão: 5.6.3-21
Origem: Pacman (Oficial) | Pacote: haskell-bitvec | Versão: 1.1.5.0-73
Origem: Pacman (Oficial) | Pacote: haskell-blaze-builder | Versão: 0.4.4.1-51
Origem: Pacman (Oficial) | Pacote: haskell-blaze-html | Versão: 0.9.2.0-128
Origem: Pacman (Oficial) | Pacote: haskell-blaze-markup | Versão: 0.8.3.0-138
Origem: Pacman (Oficial) | Pacote: haskell-boring | Versão: 0.2.2-2
Origem: Pacman (Oficial) | Pacote: haskell-bsb-http-chunked | Versão: 0.0.0.4-522
Origem: Pacman (Oficial) | Pacote: haskell-byteorder | Versão: 1.0.4-27
Origem: Pacman (Oficial) | Pacote: haskell-call-stack | Versão: 0.4.0-432
Origem: Pacman (Oficial) | Pacote: haskell-case-insensitive | Versão: 1.2.1.0-424
Origem: Pacman (Oficial) | Pacote: haskell-cassava | Versão: 0.5.4.1-63
Origem: Pacman (Oficial) | Pacote: haskell-cborg | Versão: 0.2.10.0-116
Origem: Pacman (Oficial) | Pacote: haskell-cereal | Versão: 0.5.8.3-4
Origem: Pacman (Oficial) | Pacote: haskell-character-ps | Versão: 0.1-1
Origem: Pacman (Oficial) | Pacote: haskell-citeproc | Versão: 0.8.1.1-117
Origem: Pacman (Oficial) | Pacote: haskell-cmdargs | Versão: 0.10.22-4
Origem: Pacman (Oficial) | Pacote: haskell-colour | Versão: 2.3.7-16
Origem: Pacman (Oficial) | Pacote: haskell-commonmark | Versão: 0.2.6.1-32
Origem: Pacman (Oficial) | Pacote: haskell-commonmark-extensions | Versão: 0.2.5.6-27
Origem: Pacman (Oficial) | Pacote: haskell-commonmark-pandoc | Versão: 0.2.2.3-76
Origem: Pacman (Oficial) | Pacote: haskell-comonad | Versão: 5.0.10-9
Origem: Pacman (Oficial) | Pacote: haskell-conduit | Versão: 1.3.6.1-163
Origem: Pacman (Oficial) | Pacote: haskell-conduit-extra | Versão: 1.3.8-107
Origem: Pacman (Oficial) | Pacote: haskell-constraints | Versão: 0.14.3-37
Origem: Pacman (Oficial) | Pacote: haskell-contravariant | Versão: 1.5.6-1
Origem: Pacman (Oficial) | Pacote: haskell-cookie | Versão: 0.5.0-2
Origem: Pacman (Oficial) | Pacote: haskell-crypton | Versão: 1.0.4-35
Origem: Pacman (Oficial) | Pacote: haskell-crypton-connection | Versão: 0.4.5-56
Origem: Pacman (Oficial) | Pacote: haskell-crypton-socks | Versão: 0.6.2-42
Origem: Pacman (Oficial) | Pacote: haskell-crypton-x509 | Versão: 1.7.7-91
Origem: Pacman (Oficial) | Pacote: haskell-crypton-x509-store | Versão: 1.6.12-28
Origem: Pacman (Oficial) | Pacote: haskell-crypton-x509-system | Versão: 1.6.7-163
Origem: Pacman (Oficial) | Pacote: haskell-crypton-x509-validation | Versão: 1.6.14-79
Origem: Pacman (Oficial) | Pacote: haskell-data-default | Versão: 0.7.1.3-74
